utc,julian_date_ut,tle_record_index,tle_epoch_utc,tle_age_days,goes18_teme_x_km,goes18_teme_y_km,goes18_teme_z_km,goes18_teme_vx_km_s,goes18_teme_vy_km_s,goes18_teme_vz_km_s,goes18_gcrs_x_km,goes18_gcrs_y_km,goes18_gcrs_z_km,earth_from_goes_x_km,earth_from_goes_y_km,earth_from_goes_z_km,moon_from_goes_x_km,moon_from_goes_y_km,moon_from_goes_z_km,sun_from_goes_x_km,sun_from_goes_y_km,sun_from_goes_z_km
2026-01-01T03:10:00Z,2461041.631944444,34,2026-01-01T03:37:34Z,-0.019151906,41348.034840908,8251.370316478,0.015533981,-0.601561873,3.015372903,-0.000089121,41395.180081514,8010.810542481,-105.251016080,-41395.180081514,-8010.810542481,105.251016080,91335.280500716,285832.491449164,162163.958761268,26357712.111841127,-132785013.042251229,-57556082.267830484
2026-01-01T03:15:00Z,2461041.635416667,34,2026-01-01T03:37:34Z,-0.015679684,41157.686269180,9153.932772774,-0.010254518,-0.667379260,3.001488164,-0.000090056,41210.083200037,8914.464443988,-104.835889791,-41210.083200037,-8914.464443988,104.835889791,91214.878556374,285035.341580471,162210.496272369,26366830.191222232,-132784412.986890942,-57555430.892970808
2026-01-01T03:20:00Z,2461041.638888889,34,2026-01-01T03:37:34Z,-0.012207461,40947.639702594,10052.114173986,-0.036575063,-0.732876989,2.986166974,-0.000090950,41005.263249104,9813.851900337,-104.371124218,-41005.263249104,-9813.851900337,104.371124218,91114.096296183,284242.232901883,162256.859564554,26375967.893333141,-132783808.169654489,-57554779.353316851
2026-01-01T03:25:00Z,2461041.642361111,34,2026-01-01T03:37:34Z,-0.008735239,40717.995744464,10945.484670599,-0.063416054,-0.798023712,2.969416678,-0.000091804,40780.818330666,10708.542484442,-103.856942908,-40780.818330666,-10708.542484442,103.856942908,91032.835864117,283453.595754004,162303.048822467,26385125.120049942,-132783198.160119414,-57554127.648647241
2026-01-01T03:30:00Z,2461041.645833333,34,2026-01-01T03:37:34Z,-0.005263017,40468.864377247,11833.616719068,-0.090765426,-0.862788251,2.951245304,-0.000092615,40536.855939034,11598.108020609,-103.293592840,-40536.855939034,-11598.108020609,103.293592840,90970.990003062,282669.858223819,162349.064253147,26394301.763855796,-132782582.530115500,-57553475.778717317
2026-01-01T03:35:00Z,2461041.649305556,34,2026-01-01T03:37:34Z,-0.001790795,40200.364909748,12716.085286451,-0.118610646,-0.927139612,2.931661559,-0.000093383,40273.492909272,12482.122789480,-102.681344305,-40273.492909272,-12482.122789480,102.681344305,90928.442103013,281891.445940232,162394.906086297,26403497.707872551,-132781960.853932738,-57552823.743260801
2026-01-01T03:40:00Z,2461041.652777778,34,2026-01-01T03:37:34Z,0.001681428,39912.625919861,13592.468053825,-0.146938728,-0.991046997,2.910674830,-0.000094107,39990.855361124,13360.163731773,-102.020490775,-39990.855361124,-13360.163731773,102.020490775,90905.066281836,281118.781875793,162440.574576388,26412712.825957812,-132781332.708516106,-57552171.541986175
2026-01-01T03:45:00Z,2461041.656250000,34,2026-01-01T03:37:34Z,0.005153650,39605.785192875,14462.345618402,-0.175736229,-1.054479823,2.888295171,-0.000094784,39689.078638500,14231.810650747,-101.311348766,-39689.078638500,-14231.810650747,101.311348766,90900.727420616,280352.286136456,162486.069999170,26421946.982724421,-132780697.673678681,-57551519.174581155
2026-01-01T03:50:00Z,2461041.659722222,34,2026-01-01T03:37:34Z,0.008625872,39279.989655371,15325.301694240,-0.204989264,-1.117407734,2.864533304,-0.000095415,39368.307244539,15096.646413304,-100.554257679,-39368.307244539,-15096.646413304,100.554257679,90915.281254755,279592.375768555,162531.392655129,26431200.033647321,-132780055.332291499,-57550866.640708193
2026-01-01T03:55:00Z,2461041.663194444,34,2026-01-01T03:37:34Z,0.012098094,38935.395304746,16180.923311453,-0.234683508,-1.179800616,2.839400614,-0.000095998,39028.694772288,15954.257149612,-99.749579645,-39028.694772288,-15954.257149612,99.749579645,90948.574437334,278839.464555739,162576.542867691,26440471.825110715,-132779405.270490959,-57550213.940007821
2026-01-01T04:00:00Z,2461041.666666667,34,2026-01-01T03:37:34Z,0.015570316,38572.167134400,17028.801013833,-0.264804203,-1.241628612,2.812909141,-0.000096532,38670.403831047,16804.232451132,-98.897699344,-38670.403831047,-16804.232451132,98.897699344,91000.444571766,278093.962815512,162621.520980766,26449762.194462113,-132778747.077876776,-57549561.072098985
2026-01-01T04:05:00Z,2461041.670138889,34,2026-01-01T03:37:34Z,0.019042539,38190.479054609,17868.529054782,-0.295336165,-1.302862135,2.785071574,-0.000097015,38293.605968382,17646.165567030,-97.999023825,-38293.605968382,-17646.165567030,97.999023825,91070.720361472,277356.277214468,162666.327363680,26459070.970127575,-132778080.347704023,-57548908.036577195
2026-01-01T04:10:00Z,2461041.673611111,34,2026-01-01T03:37:34Z,0.022514761,37790.513809145,18699.705591451,-0.326263793,-1.363471884,2.755901248,-0.000097448,37898.481587862,18479.653598799,-97.053982311,-37898.481587862,-18479.653598799,97.053982311,91159.221629057,276626.810561091,162710.962405309,26468397.971668456,-132777404.677081898,-57548254.833016634
2026-01-01T04:15:00Z,2461041.677083333,34,2026-01-01T03:37:34Z,0.025986983,37372.462887657,19521.932877022,-0.357571076,-1.423428857,2.725412134,-0.000097828,37485.219862585,19304.297693021,-96.063025989,-37485.219862585,-19304.297693021,96.063025989,91265.759434870,275905.961623000,162755.426518470,26477743.009893965,-132776719.667160898,-57547601.460967749
2026-01-01T04:20:00Z,2461041.680555556,34,2026-01-01T03:37:34Z,0.029459205,36936.526433874,20334.817451006,-0.389241599,-1.482704364,2.693618835,-0.000098156,37054.018644469,20119.703232227,-95.026627800,-37054.018644469,-20119.703232227,95.026627800,91390.136166381,275194.124930485,162799.720137085,26487105.886908397,-132776024.923333094,-57546947.919961832
2026-01-01T04:25:00Z,2461041.684027778,34,2026-01-01T03:37:34Z,0.032931428,36482.913149674,21137.970327497,-0.421258554,-1.541270043,2.660536578,-0.000098429,36605.084369420,20925.480023691,-93.945282209,-36605.084369420,-20925.480023691,93.945282209,91532.145612955,274491.690589621,162843.843716909,26496486.396245342,-132775320.055411875,-57546294.209507026
2026-01-01T04:30:00Z,2461041.687500000,35,2026-01-01T05:20:17Z,-0.034923460,36011.795958070,21931.077441588,-0.212384931,-1.599101735,2.626178883,-0.000040889,36138.588742775,21721.313010070,-92.578176971,-36138.588742775,-21721.313010070,92.578176971,91691.616321888,273798.973572449,162887.556407568,26505884.366181582,-132774604.748344675,-57545640.570417657
2026-01-01T04:35:00Z,2461041.690972222,35,2026-01-01T05:20:17Z,-0.031451238,35523.487697084,22713.618079479,-0.228882482,-1.656163975,2.590566735,-0.000041421,35654.840385668,22506.679652719,-91.392341667,-35654.840385668,-22506.679652719,91.392341667,91868.239888745,273116.496329671,162931.325199399,26515299.488048147,-132773878.479601771,-57544986.535668120
2026-01-01T04:40:00Z,2461041.694444444,35,2026-01-01T05:20:17Z,-0.027979015,35018.179060437,23485.288725429,-0.245778640,-1.712433390,2.553714979,-0.000041919,35154.028793847,23281.275339451,-90.163274017,-35154.028793847,-23281.275339451,90.163274017,92061.827052859,272444.563386110,162974.925551139,26524731.572331220,-132773140.944576785,-57544332.329763092
2026-01-01T04:45:00Z,2461041.697916667,35,2026-01-01T05:20:17Z,-0.024506793,34496.111943193,24245.720130734,-0.263061860,-1.767883056,2.515641263,-0.000042384,34636.393710481,24044.729421388,-88.891558874,-34636.393710481,-24044.729421388,88.891558874,92272.138327758,271783.545309762,163018.358011555,26534180.379257359,-132772391.772626132,-57543677.952120118
2026-01-01T04:50:00Z,2461041.701388889,35,2026-01-01T05:20:17Z,-0.021034571,33957.536258444,24994.548428560,-0.280720203,-1.822486445,2.476363819,-0.000042815,34102.182927890,24796.676584806,-87.577801287,-34102.182927890,-24796.676584806,87.577801287,92498.926125595,271133.807323084,163061.623145025,26543645.660990387,-132771630.598445415,-57543023.402138121
2026-01-01T04:55:00Z,2461041.704861111,35,2026-01-01T05:20:17Z,-0.017562349,33402.709817570,25731.415307987,-0.298741344,-1.876217433,2.435901452,-0.000043210,33551.652168823,25536.757025886,-86.222626220,-33551.652168823,-25536.757025886,86.222626220,92741.934980667,270495.709148015,163104.721540036,26553127.161790110,-132770857.062235251,-57542368.679194212
2026-01-01T05:00:00Z,2461041.708333333,35,2026-01-01T05:20:17Z,-0.014090126,32831.898206726,26455.968185388,-0.317112583,-1.929050313,2.394273537,-0.000043568,32985.064963952,26264.616622790,-84.826678244,-32985.064963952,-26264.616622790,84.826678244,93000.901593167,269869.604820062,163147.653802740,26562624.618090313,-132770070.809881210,-57541713.782646887
2026-01-01T05:05:00Z,2461041.711805556,35,2026-01-01T05:20:17Z,-0.010617904,32245.374659613,27167.860373067,-0.335820846,-1.980959811,2.351500005,-0.000043889,32402.692525623,26979.907105035,-83.390621239,-32402.692525623,-26979.907105035,83.390621239,93275.554977338,269255.842523904,163190.420558822,26572137.758648504,-132769271.493119359,-57541058.711835258
2026-01-01T05:10:00Z,2461041.715277778,35,2026-01-01T05:20:17Z,-0.007145682,31643.419926595,27866.751245064,-0.354852697,-2.031921092,2.307601335,-0.000044172,31804.813617927,27682.286220074,-81.915138071,-31804.813617927,-27682.286220074,81.915138071,93565.616613237,268654.764427953,163233.022453749,26581666.304669630,-132768458.769704074,-57540403.466079362
2026-01-01T05:15:00Z,2461041.718750000,35,2026-01-01T05:20:17Z,-0.003673460,31026.322140216,28552.306400052,-0.374194348,-2.081909777,2.262598543,-0.000044416,31191.714423188,28371.417896954,-80.400930271,-31191.714423188,-28371.417896954,80.400930271,93870.800549658,268066.706518640,163275.460151505,26591209.969940744,-132767632.303570524,-57539748.044680409
2026-01-01T05:20:00Z,2461041.722222222,35,2026-01-01T05:20:17Z,-0.000201238,30394.376677197,29224.197821255,-0.393831661,-2.130901953,2.216513175,-0.000044620,30563.688404881,29046.972407039,-78.848717699,-30563.688404881,-29046.972407039,78.848717699,94190.813567717,267491.998440941,163317.734334751,26600768.460972026,-132766791.764996678,-57539092.446921356
2026-01-01T05:25:00Z,2461041.725694444,35,2026-01-01T05:20:17Z,0.003270985,29747.886016971,29882.104033305,-0.413750164,-2.178874183,2.169367294,-0.000044784,29921.036167076,29708.626521699,-77.259238199,-29921.036167076,-29708.626521699,77.259238199,94525.355286079,266930.963337141,163359.845703061,26610341.477115903,-132765936.830761969,-57538436.672067940
2026-01-01T05:30:00Z,2461041.729166667,35,2026-01-01T05:20:17Z,0.006743207,29087.159596818,30525.710255959,-0.433935052,-2.225803521,2.121183469,-0.000044905,29264.065310484,30356.063666844,-75.633247250,-29264.065310484,-30356.063666844,75.633247250,94874.118348416,266383.917699016,163401.794975348,26619928.710749432,-132765067.184298009,-57537780.719367079
2026-01-01T05:35:00Z,2461041.732638889,35,2026-01-01T05:20:17Z,0.010215429,28412.513663685,31154.708554615,-0.454371205,-2.271667517,2.071984766,-0.000044985,28593.090285147,30988.974074315,-73.971517608,-28593.090285147,-30988.974074315,73.971517608,95236.788536492,265851.171210140,163443.582886927,26629529.847400591,-132764182.515841797,-57537124.588048331
2026-01-01T05:40:00Z,2461041.736111111,35,2026-01-01T05:20:17Z,0.013687651,27724.271122741,31768.797987540,-0.475043188,-2.316444233,2.021794737,-0.000045022,27908.432239854,31607.054929986,-72.274838934,-27908.432239854,-31607.054929986,72.274838934,95613.044946202,265333.026602127,163485.210190876,26639144.565876946,-132763282.522587702,-57536468.277325682
2026-01-01T05:45:00Z,2461041.739583333,35,2026-01-01T05:20:17Z,0.017159874,27022.761382765,32367.684749750,-0.495935269,-2.360112252,1.970637408,-0.000045015,27210.418868362,32210.010518548,-70.544017420,-27210.418868362,-32210.010518548,70.544017420,96002.560107207,264829.779505101,163526.677655681,26648772.538458679,-132762366.908826724,-57535811.786395729
2026-01-01T05:50:00Z,2461041.743055556,35,2026-01-01T05:20:17Z,0.020632096,26308.320198418,32951.082313477,-0.517031421,-2.402650688,1.918537265,-0.000044964,26499.384252500,32797.552364871,-68.779875403,-26499.384252500,-32797.552364871,68.779875403,96405.000177850,264341.718311931,163567.986067289,26658413.431032877,-132761435.386089981,-57535155.114438809
2026-01-01T05:55:00Z,2461041.746527778,35,2026-01-01T05:20:17Z,0.024104318,25581.289509487,33518.711565140,-0.538315339,-2.444039193,1.865519246,-0.000044868,25775.668702204,33369.399371929,-66.983250980,-25775.668702204,-33369.399371929,66.983250980,96820.025085454,263869.124035687,163609.136226663,26668066.903255142,-132760487.673288301,-57534498.260620259
2026-01-01T06:00:00Z,2461041.750000000,35,2026-01-01T05:20:17Z,0.027576540,24842.017277179,34070.300938768,-0.559770446,-2.484257973,1.811608731,-0.000044727,25039.618592600,33925.277955157,-65.154997601,-25039.618592600,-33925.277955157,65.154997601,97247.288703043,263412.270181148,163650.128951973,26677732.608731810,-132759523.496841103,-57533841.224088356
